id,nome,moradaSede,estaleiros,coordsSede
E001,"PREZERO PORTUGAL, S.A.","Rua da Lionesa, 446, Edifício G39 - 4465-671  Leça do Balio","[{""id"":""0.18277213248946"",""morada"":""Quinta do Lima, Vale D´Álvaro 5300-067 Bragança"",""nome"":""Ecocentro de Bragança"",""responsavel"":"""",""telefone"":""""},{""id"":""0.18887420849801373"",""morada"":""ZI Maia - Armazém 36 Setor II, R. de Rafael Baptista Rodrigues, 4475-150 Gemunde (Maia)"",""nome"":""Prezero Maia"",""responsavel"":"""",""telefone"":""""}]",""
E002,"EMARP - EMPRESA MUNICIPAL DE AGUAS E RESIDUOS DE PORTIMÃO","RUA JOSÉ ANTÓNIO MARQUES, Nº 17, 8500-318 PORTIMAO","[]",""
E003,"SERLIMA","Aeroporto Gago Coutinho 8006-901 Faro","[]",""
E004,"AGERE - EMPRESA DE AGUAS EFLUENTES E RESIDUOS DE BRAGA","Praça Conde de Agrolongo 115, 4700-312 Braga","[{""id"":""0.44577291653338524"",""morada"":""Estrada da Depuradora (s/nº), Edificio de apoio administrativo - 2º andar., 4700-264 Braga"",""nome"":""Estaleiro Municipal"",""responsavel"":"""",""telefone"":""""}]",""
E005,"MUNICIPIO DE COIMBRA","Praça 8 de Maio, 3000-300 Coimbra","[{""id"":""0.6182584263406488"",""morada"":""Rua da Liberdade, Carvalhais de Baixo, 3040-658 Assafarge"",""nome"":""Oficinas Mecânicas  - CM COIMBRA"",""responsavel"":"""",""telefone"":""""}]",""
E006,"MUNICIPIO DE PONTE DA BARCA","Praça Dr. António Lacerda 8, 4980-620 Pte. da Barca","[{""id"":""0.06837456499348449"",""morada"":""R. do Emigrante 2 N, 4980-639 Pte. da Barca"",""nome"":""Armazéns CM Ponte da Barca"",""responsavel"":"""",""telefone"":""""}]",""
E007,"EMAP - EMPRESA MUNICIPAL DE AMBIENTE DO PORTO","R. de São Dinis 249, 4250-427 Porto","[{""id"":""0.3718369619466477"",""morada"":""R. Acácio Lino 69, Porto"",""nome"":""Oficinas EMAP"",""responsavel"":"""",""telefone"":""""}]",""
E008,"MUNICIPIO DE CUBA","Rua de Serpa Pinto 84, 7940-172 Cuba","[{""id"":""0.1076869983410893"",""morada"":""Cuba"",""nome"":""Estaleiro Municipal CUBA - Estrada Nacional 258-1 7940-017 Cuba"",""responsavel"":"""",""telefone"":""""}]",""
E009,"MUNICIPIO PORTO","PC GEN HUMBERTO DELGADO , 4049-001 PORTO","[{""id"":""0.4542606254225018"",""morada"":""R. Acácio Lino 69, Porto"",""nome"":""OFICINAS"",""responsavel"":"""",""telefone"":""""},{""id"":""0.1893591850697015"",""morada"":""Largo do Padre Baltasar Guedes, 4300-059 Porto"",""nome"":""Cemitério Prado Repouso"",""responsavel"":"""",""telefone"":""""},{""id"":""0.4435715855008959"",""morada"":""Parque da Cidade, 4100 Porto"",""nome"":""Parque da Cidade"",""responsavel"":"""",""telefone"":""""},{""id"":""0.9022408078257088"",""morada"":""Tv. das Antas 355, 4350-307 Porto"",""nome"":""Parque São Roque"",""responsavel"":"""",""telefone"":""""}]",""
E010,"MUNICIPIO DE BEJA","PC DA REPUBLICA , 7800-427 BEJA","[]",""
E011,"JOSE A F CARDOSO SOCIEDADE UNIPESSOAL LDA","RUA 13 DE MAIO N 1297 , 4800-530 RENDUFE GMR","[]",""
E012,"JF DE ILHAVO (S.SALVADOR)","AVENIDA 25 DE ABRIL , 3830-044 ILHAVO","[]",""
E013,"MUNICIPIO DE VISEU","PC DA REPUBLICA , 3514-501 VISEU","[]",""
E014,"GESAMB - GESTÃO AMBIENTAL E DE RESIDUOS, E.I.M.","ATERRO INTERMUNICIPAL, KM 89, 9, ESTRADA NACIONAL, 7000-175 ÉVORA","[{""id"":""0.1852940963173636"",""morada"":""Largo Dom Nuno Álvares Pereira 9, 7200-175 Monsaraz"",""nome"":""JF de Monsaraz"",""responsavel"":"""",""telefone"":""""}]",""
E015,"MUNICIPIO DE BRAGANÇA","Rua Abílio Beça nº. 75/77 , 5300-011 Bragança","[]",""
E016,"MUNICIPIO DE BAIÃO","PC HEROIS DO ULTRAMAR , 4640-158 BAIÃO","[]",""
E017,"MUNICIPIO DE SESIMBRA","R DA REPUBLICA 3, 2970-741 SESIMBRA","[]",""
E018,"MUNICIPIO DE S BRAS DE ALPORTEL","R GAGO COUTINHO , 8150-151 SAO BRAS DE ALPORTEL","[]",""
E019,"MUNICIPIO DE CAMPO MAIOR","PR DA REPUBLICA, Apartado 55, 7370-060 CAMPO MAIOR","[]",""
E020,"MUNICIPIO DE MARVAO","LARGO DE SANTA MARIA, 7330-101 MARVAO","[]",""
E021,"MUNICIPIO OVAR","PC DA REPUBLICA , 3880-141 OVAR","[{""id"":""0.9803654216501159"",""morada"":""Caminho da Várzea, 3880-399 Ovar"",""nome"":""Ecocentro"",""responsavel"":"""",""telefone"":""""}]",""
E022,"DERICHEBOURG FACILITY SERVICES SA","R NOVA DO ARQUINHO N 382, 4475-365 MAIA","[]",""
E023,"TURISCAMPO SOC EMPREENDIMENTOS TURISTICOS PARQUES ALGAR","EN 125 ESPICHE, PRAIA DA LUZ, 8600-147 LAGOS","[]",""
E024,"MUNICIPIO DE OEIRAS","L MARQUES DE POMBAL , 2780-288 OEIRAS","[]",""
E025,"VITRUS AMBIENTE EM SA","AVENIDA CONEGO GASPAR ESTACO N 606, 4810-266 GUIMARAES","[]",""
E026,"MUNICIPIO DO ENTRONCAMENTO","LG JOSE DUARTE COELHO , 2330-078 ENTRONCAMENTO","[]",""
E027,"LIPOR - SERVIÇO INTERMUNICIPALIZADO DE GESTAO DE RESIDUOS","R DA MORENA - 805 / 955 - APARTADO 1510 , 4435-746 BAGUIM DO MONTE","[]",""
E028,"SUMA SERVIÇOS URBANOS E MEIO AMBIENTE SA","RUA MARIO DIONISIO N 2, 2799-557 LINDA A VELHA","[]",""
E029,"MUNICIPIO DE AROUCA","PC DO MUNICIPIO , 4540-100 AROUCA","[]",""
